Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
THE PARC CONDOMINIUM,WEST COAST WALK,05,Non-Landed Properties,2,"4,500",90 to 100,"900 to 1,000",Jul-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Jul-24
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,2,"4,100",60 to 70,600 to 700,Jul-24
CLEMENTIWOODS CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,1,"3,500",60 to 70,600 to 700,Jul-24
ROYAL PALM MANSIONS,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"5,400",110 to 120,"1,200 to 1,300",Jul-24
SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Jul-24
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,000",30 to 40,300 to 400,Jul-24
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,1,"4,200",40 to 50,500 to 600,Jul-24
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,1,"3,950",110 to 120,"1,100 to 1,200",Jul-24
SEASUITES,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"4,000",70 to 80,700 to 800,Jul-24
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,05,Non-Landed Properties,1,"3,700",50 to 60,500 to 600,Jul-24
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,NA,"3,200",30 to 40,300 to 400,Jul-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"3,450",50 to 60,600 to 700,Jul-24
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,2,"5,100",90 to 100,"1,000 to 1,100",Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"5,400",70 to 80,700 to 800,Jul-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"4,000",50 to 60,600 to 700,Jul-24
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,2,"5,000",60 to 70,600 to 700,Jul-24
THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,3,"7,700",150 to 160,"1,700 to 1,800",Jul-24
THE ANCHORAGE,ALEXANDRA ROAD,03,Non-Landed Properties,3,"6,300",170 to 180,"1,800 to 1,900",Jul-24
HUNDRED TREES,WEST COAST DRIVE,05,Non-Landed Properties,3,"6,000",100 to 110,"1,100 to 1,200",Jul-24
ECHELON,ALEXANDRA VIEW,03,Non-Landed Properties,3,"5,800",80 to 90,800 to 900,Jul-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"3,600",50 to 60,600 to 700,Jul-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,2,"7,000",100 to 110,"1,100 to 1,200",Jul-24
PARC IMPERIAL,PASIR PANJANG ROAD,05,Non-Landed Properties,NA,"3,000",30 to 40,300 to 400,Jul-24
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,2,"7,950",90 to 100,"1,000 to 1,100",Jul-24
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Jul-24
THE PEAK@BALMEG,BALMEG HILL,05,Non-Landed Properties,5,"9,500",230 to 240,"2,500 to 2,600",Jul-24
RIVIERE,JIAK KIM STREET,03,Non-Landed Properties,4,"16,500",180 to 190,"2,000 to 2,100",Jul-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Jul-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,800",70 to 80,700 to 800,Jul-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"3,900",60 to 70,600 to 700,Jul-24
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,1,"3,800",40 to 50,500 to 600,Jul-24
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,1,"3,850",40 to 50,500 to 600,Jul-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,3,"5,000",90 to 100,"1,000 to 1,100",Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,600",60 to 70,600 to 700,Jul-24
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,700",40 to 50,400 to 500,Jul-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"4,500",60 to 70,700 to 800,Jul-24
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,04,Non-Landed Properties,1,"3,800",40 to 50,400 to 500,Jul-24
CARABELLE,WEST COAST WAY,05,Non-Landed Properties,2,"4,100",80 to 90,"900 to 1,000",Jul-24
VIVA VISTA,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,000",30 to 40,300 to 400,Jul-24
BLUE HORIZON,WEST COAST CRESCENT,05,Non-Landed Properties,3,"6,700",100 to 110,"1,100 to 1,200",Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,300",60 to 70,600 to 700,Jul-24
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,2,"6,500",100 to 110,"1,100 to 1,200",Jul-24
THE VISION,WEST COAST CRESCENT,05,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",Jul-24
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,1,"4,200",50 to 60,500 to 600,Jul-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,4,"10,000",240 to 250,"2,500 to 2,600",Jul-24
76 SHENTON,SHENTON WAY,02,Non-Landed Properties,2,"6,000",90 to 100,"900 to 1,000",Jul-24
SKY EVERTON,EVERTON ROAD,02,Non-Landed Properties,3,"6,300",80 to 90,"900 to 1,000",Jul-24
VARSITY PARK CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,3,"7,000",170 to 180,"1,800 to 1,900",Jul-24
THE CASSANDRA,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"4,200",120 to 130,"1,300 to 1,400",Jul-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"4,300",60 to 70,700 to 800,Jul-24
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,2,"3,800",60 to 70,600 to 700,Jul-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"5,700",80 to 90,"900 to 1,000",Jul-24
76 SHENTON,SHENTON WAY,02,Non-Landed Properties,2,"6,300",90 to 100,"900 to 1,000",Jul-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,360",40 to 50,500 to 600,Jul-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"5,000",80 to 90,"900 to 1,000",Jul-24
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"6,500",110 to 120,"1,200 to 1,300",Jul-24
SUNSTONE HILL,PASIR PANJANG ROAD,05,Non-Landed Properties,NA,"3,300",30 to 40,300 to 400,Jul-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"9,000",140 to 150,"1,500 to 1,600",Jul-24
THE CLEMENT CANOPY,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Jul-24
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,2,"5,300",110 to 120,"1,200 to 1,300",Jul-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"4,450",60 to 70,700 to 800,Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,300",60 to 70,600 to 700,Jul-24
ICON,GOPENG STREET,02,Non-Landed Properties,1,"4,100",50 to 60,500 to 600,Jul-24
RIVIERE,JIAK KIM STREET,03,Non-Landed Properties,2,"6,500",70 to 80,800 to 900,Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,1,"3,700",40 to 50,500 to 600,Jul-24
THE CLEMENT CANOPY,CLEMENTI AVENUE 1,05,Non-Landed Properties,3,"6,000",100 to 110,"1,100 to 1,200",Jul-24
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,1,"2,900",30 to 40,300 to 400,Jul-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,700",50 to 60,500 to 600,Jul-24
WHITEHAVEN,PASIR PANJANG ROAD,05,Non-Landed Properties,4,"6,000",80 to 90,"900 to 1,000",Jul-24
HERITAGE VIEW,DOVER RISE,05,Non-Landed Properties,3,"6,300",120 to 130,"1,300 to 1,400",Jul-24
SARHAD VILLE,LORONG SARHAD,05,Non-Landed Properties,3,"4,200",110 to 120,"1,200 to 1,300",Jul-24
MARGARET VILLE,MARGARET DRIVE,03,Non-Landed Properties,1,"3,600",40 to 50,400 to 500,Jul-24
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Jul-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,2,"4,100",60 to 70,600 to 700,Jul-24
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,2,"5,300",50 to 60,600 to 700,Jul-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,2,"4,100",60 to 70,600 to 700,Jul-24
THE BEACON,CANTONMENT ROAD,02,Non-Landed Properties,2,"5,100",100 to 110,"1,100 to 1,200",Jul-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"6,000",60 to 70,700 to 800,Jul-24
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,700",40 to 50,400 to 500,Jul-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,600",50 to 60,500 to 600,Jul-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,1,"3,400",40 to 50,500 to 600,Jul-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"5,200",70 to 80,700 to 800,Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,3,"7,000",90 to 100,"1,000 to 1,100",Jul-24
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,3,"7,500",140 to 150,"1,500 to 1,600",Jul-24
THE ARRIS,YAN KIT ROAD,02,Non-Landed Properties,1,"6,000",110 to 120,"1,100 to 1,200",Jul-24
ROYAL PALM MANSIONS,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"5,500",110 to 120,"1,200 to 1,300",Jul-24
THE PARC CONDOMINIUM,WEST COAST WALK,05,Non-Landed Properties,2,"4,500",90 to 100,"900 to 1,000",Jul-24
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,04,Non-Landed Properties,3,"6,500",120 to 130,"1,200 to 1,300",Jul-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"3,500",50 to 60,600 to 700,Jul-24
HERITAGE VIEW,DOVER RISE,05,Non-Landed Properties,3,"5,800",100 to 110,"1,100 to 1,200",Jul-24
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"4,000",70 to 80,700 to 800,Jul-24
BLUE HORIZON,WEST COAST CRESCENT,05,Non-Landed Properties,2,"4,600",80 to 90,"900 to 1,000",Jul-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"5,200",80 to 90,800 to 900,Jul-24
24 ONE RESIDENCES,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"3,850",50 to 60,600 to 700,Jul-24
TERESA VILLE,LOWER DELTA ROAD,04,Non-Landed Properties,3,"6,000",170 to 180,"1,900 to 2,000",Jul-24
BLUE HORIZON,WEST COAST CRESCENT,05,Non-Landed Properties,3,"5,000",110 to 120,"1,100 to 1,200",Jul-24
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,500",40 to 50,500 to 600,Jul-24
PARC IMPERIAL,PASIR PANJANG ROAD,05,Non-Landed Properties,NA,"3,200",30 to 40,300 to 400,Jul-24
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,2,"5,000",70 to 80,700 to 800,Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,200",60 to 70,600 to 700,Jul-24
PARC IMPERIAL,PASIR PANJANG ROAD,05,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Jul-24
HARBOUR VIEW GARDENS,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"3,750",50 to 60,500 to 600,Jul-24
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"4,000",60 to 70,700 to 800,Jul-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,2,"5,100",80 to 90,800 to 900,Jul-24
SUNSTONE HILL,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"4,800",70 to 80,800 to 900,Jul-24
PASIR VIEW PARK,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"4,300",90 to 100,"900 to 1,000",Jul-24
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Jul-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Jul-24
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,1,"3,900",40 to 50,400 to 500,Jul-24
TIONG BAHRU ESTATE,YONG SIAK STREET,03,Non-Landed Properties,NA,"6,000",80 to 90,"900 to 1,000",Jul-24
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,1,"3,500",40 to 50,500 to 600,Jul-24
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,1,"4,100",40 to 50,500 to 600,Jul-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,1,"3,300",40 to 50,500 to 600,Jul-24
SEAHILL,WEST COAST CRESCENT,05,Non-Landed Properties,NA,"3,300",60 to 70,600 to 700,Jul-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Jul-24
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,05,Non-Landed Properties,4,"6,200",190 to 200,"2,000 to 2,100",Jul-24
76 SHENTON,SHENTON WAY,02,Non-Landed Properties,1,"5,000",50 to 60,600 to 700,Jul-24
76 SHENTON,SHENTON WAY,02,Non-Landed Properties,1,"4,300",50 to 60,600 to 700,Jul-24
THE FORESTA @ MOUNT FABER,WISHART ROAD,04,Non-Landed Properties,2,"3,000",50 to 60,500 to 600,Jul-24
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,100",30 to 40,300 to 400,Jul-24
TREASURE PLACE,LORONG SARHAD,05,Non-Landed Properties,2,"4,200",90 to 100,"900 to 1,000",Jul-24
CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,1,"4,400",60 to 70,600 to 700,Jul-24
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,150",30 to 40,300 to 400,Jul-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Jul-24
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,3,"6,000",80 to 90,"900 to 1,000",Jul-24
THE PARC CONDOMINIUM,WEST COAST WALK,05,Non-Landed Properties,3,"5,100",120 to 130,"1,300 to 1,400",Jul-24
HUNDRED TREES,WEST COAST DRIVE,05,Non-Landed Properties,2,"4,500",80 to 90,"900 to 1,000",Jul-24
NON-LANDED HOUSING DEVELOPMENT,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,500",70 to 80,700 to 800,Jul-24
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,4,"7,000",140 to 150,"1,500 to 1,600",Jul-24
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,3,"9,100",160 to 170,"1,700 to 1,800",Jul-24
76 SHENTON,SHENTON WAY,02,Non-Landed Properties,1,"4,400",50 to 60,600 to 700,Jul-24
ICON,GOPENG STREET,02,Non-Landed Properties,1,"4,100",60 to 70,600 to 700,Jul-24
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,1,"2,800",30 to 40,400 to 500,Jul-24
THE FORESTA @ MOUNT FABER,WISHART ROAD,04,Non-Landed Properties,2,"4,200",60 to 70,700 to 800,Jul-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"5,000",80 to 90,"900 to 1,000",Jul-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,200",70 to 80,700 to 800,Jul-24
WHITEHAVEN,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"3,850",50 to 60,600 to 700,Jul-24
MURANO,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"4,700",90 to 100,"1,000 to 1,100",Jul-24
TIONG BAHRU ESTATE,CHAY YAN STREET,03,Non-Landed Properties,NA,"3,300",40 to 50,400 to 500,Jul-24
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,2,"3,700",50 to 60,600 to 700,Jul-24
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,2,"5,000",70 to 80,700 to 800,Jul-24
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,04,Non-Landed Properties,2,"4,200",70 to 80,800 to 900,Jul-24
QUEENS,STIRLING ROAD,03,Non-Landed Properties,3,"5,600",110 to 120,"1,100 to 1,200",Jul-24
ASCENTIA SKY,ALEXANDRA VIEW,03,Non-Landed Properties,2,"5,500",80 to 90,"900 to 1,000",Jul-24
DOMAIN 21,DELTA ROAD,03,Non-Landed Properties,3,"6,700",110 to 120,"1,200 to 1,300",Jul-24
VIVA VISTA,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,000",30 to 40,300 to 400,Jul-24
ICON,GOPENG STREET,02,Non-Landed Properties,1,"4,200",60 to 70,600 to 700,Jul-24
QUEENS,STIRLING ROAD,03,Non-Landed Properties,3,"5,700",110 to 120,"1,100 to 1,200",Jul-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,600",60 to 70,600 to 700,Jul-24
BLUE HORIZON,WEST COAST CRESCENT,05,Non-Landed Properties,3,"5,200",110 to 120,"1,200 to 1,300",Jul-24
THE CLEMENT CANOPY,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,800",60 to 70,700 to 800,Jul-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,4,"7,200",100 to 110,"1,100 to 1,200",Jul-24
VILLA DE WEST,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"4,800",120 to 130,"1,300 to 1,400",Jul-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"6,300",80 to 90,800 to 900,Jul-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"5,400",80 to 90,"900 to 1,000",Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,3,"6,350",80 to 90,800 to 900,Jul-24
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-Landed Properties,2,"4,100",60 to 70,600 to 700,Jul-24
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,04,Non-Landed Properties,3,"7,700",130 to 140,"1,400 to 1,500",Jul-24
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,1,"2,900",30 to 40,300 to 400,Jul-24
LIIV RESIDENCES,PASIR PANJANG ROAD,05,Non-Landed Properties,NA,"3,000",30 to 40,300 to 400,Jul-24
V ON SHENTON,SHENTON WAY,01,Non-Landed Properties,2,"6,000",100 to 110,"1,000 to 1,100",Jul-24
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,3,"5,500",110 to 120,"1,200 to 1,300",Jul-24
THE VISION,WEST COAST CRESCENT,05,Non-Landed Properties,3,"5,500",120 to 130,"1,300 to 1,400",Jul-24
ICON,GOPENG STREET,02,Non-Landed Properties,1,"4,000",50 to 60,500 to 600,Jul-24
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,05,Non-Landed Properties,2,"3,000",90 to 100,"1,000 to 1,100",Jul-24
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"4,100",70 to 80,800 to 900,Jul-24
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,5,"10,100",180 to 190,"2,000 to 2,100",Jul-24
QUEENS,STIRLING ROAD,03,Non-Landed Properties,3,"6,000",110 to 120,"1,100 to 1,200",Jul-24
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,2,"4,800",60 to 70,600 to 700,Jul-24
GOLD COAST CONDOMINIUM,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"7,500",170 to 180,"1,800 to 1,900",Jul-24
ASCENTIA SKY,ALEXANDRA VIEW,03,Non-Landed Properties,3,"7,550",130 to 140,"1,400 to 1,500",Jul-24
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,1,"3,500",30 to 40,300 to 400,Jul-24
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"6,500",110 to 120,"1,200 to 1,300",Jul-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,1,"3,400",40 to 50,500 to 600,Jul-24
ONE-NORTH EDEN,SLIM BARRACKS RISE,05,Non-Landed Properties,2,"4,900",60 to 70,600 to 700,Jul-24
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,3,"6,300",100 to 110,"1,000 to 1,100",Jul-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,600",70 to 80,700 to 800,Jul-24
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,1,"3,800",50 to 60,500 to 600,Jul-24
VARSITY PARK CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,3,"7,800",170 to 180,"1,800 to 1,900",Jul-24
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,3,"8,600",140 to 150,"1,500 to 1,600",Jul-24
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,1,"4,000",40 to 50,500 to 600,Jul-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"5,100",80 to 90,800 to 900,Jul-24
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,2,"4,500",70 to 80,700 to 800,Jul-24
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,05,Non-Landed Properties,2,"4,900",90 to 100,"900 to 1,000",Jul-24
V ON SHENTON,SHENTON WAY,01,Non-Landed Properties,1,"4,000",60 to 70,700 to 800,Jul-24
HERITAGE VIEW,DOVER RISE,05,Non-Landed Properties,2,"4,250",90 to 100,"900 to 1,000",Jul-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,4,"7,100",120 to 130,"1,300 to 1,400",Jul-24
HUNDRED TREES,WEST COAST DRIVE,05,Non-Landed Properties,4,"6,800",130 to 140,"1,400 to 1,500",Jul-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,200",70 to 80,700 to 800,Jul-24
THE SPECTRUM,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"5,400",110 to 120,"1,200 to 1,300",Jul-24
THE BERTH BY THE COVE,OCEAN DRIVE,04,Non-Landed Properties,4,"19,500",560 to 570,"6,000 to 6,100",Jul-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,1,"3,600",40 to 50,500 to 600,Jul-24
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,04,Non-Landed Properties,3,"10,500",180 to 190,"1,900 to 2,000",Jul-24
ICON,GOPENG STREET,02,Non-Landed Properties,1,"5,600",60 to 70,600 to 700,Jul-24
SEAHILL,WEST COAST CRESCENT,05,Non-Landed Properties,NA,"3,300",40 to 50,400 to 500,Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,1,"3,850",40 to 50,500 to 600,Jul-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,1,"3,700",40 to 50,500 to 600,Jul-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"9,000",170 to 180,"1,800 to 1,900",Jul-24
THE STELLAR,WEST COAST ROAD,05,Non-Landed Properties,3,"6,800",120 to 130,"1,300 to 1,400",Jul-24
TWIN VEW,WEST COAST VALE,05,Non-Landed Properties,2,"4,400",60 to 70,700 to 800,Jul-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,1,"3,800",40 to 50,500 to 600,Jul-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,400",70 to 80,700 to 800,Jul-24
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Jul-24
